Date,Open,High,Low,Close,Volume
1/2/2015 16:00:00,29.25,29.44,28.81,29.06,119600
1/5/2015 16:00:00,28.94,28.98,28.43,28.58,205832
1/6/2015 16:00:00,28.51,28.56,27.59,27.67,270911
1/7/2015 16:00:00,27.74,28.13,27.2,28.1,312649
1/8/2015 16:00:00,28.28,29.09,28.18,28.5,248696
1/9/2015 16:00:00,28.37,28.6,28.28,28.47,117786
1/12/2015 16:00:00,28.49,28.5,27.8,28.02,196505
1/13/2015 16:00:00,28.13,28.92,28.13,28.64,243739
1/14/2015 16:00:00,28.38,28.43,27.97,28.33,150598
1/15/2015 16:00:00,28.35,29.07,28.35,28.64,330768
1/16/2015 16:00:00,28.56,29.2,28.56,29.18,366014
1/20/2015 16:00:00,29.63,29.75,29,29.31,342893
1/21/2015 16:00:00,29.39,29.59,28.78,29.14,298535
1/22/2015 16:00:00,29.17,29.29,28.94,29.2,269670
1/23/2015 16:00:00,29.32,29.78,29.24,29.3,322388
1/26/2015 16:00:00,29.25,29.59,29.04,29.39,398916
1/27/2015 16:00:00,29.29,29.98,28.93,29.8,549254
1/28/2015 16:00:00,28.31,28.45,26.64,27.09,2130829
1/29/2015 16:00:00,26.99,28.35,26.9,27.93,795631
1/30/2015 16:00:00,27.69,28.47,27.5,28.34,464417
2/2/2015 16:00:00,28.35,28.74,27.61,27.92,699886
2/3/2015 16:00:00,27.73,28.84,27.51,28.45,423171
2/4/2015 16:00:00,28.39,28.5,27.98,28.27,320164
2/5/2015 16:00:00,28.49,29.51,28.4,29.48,406280
2/6/2015 16:00:00,29.48,29.83,28.78,28.94,283980
2/9/2015 16:00:00,28.96,29.55,28.9,29.27,266207
2/10/2015 16:00:00,29.3,29.8,29.23,29.5,312709
2/11/2015 16:00:00,29.51,29.86,29.38,29.83,217007
2/12/2015 16:00:00,30,30.63,29.95,30.1,261441
2/13/2015 16:00:00,30.25,30.75,29.99,30.6,253687
2/17/2015 16:00:00,30.44,30.87,30.15,30.31,354614
2/18/2015 16:00:00,30.13,30.26,29.7,29.81,361595
2/19/2015 16:00:00,29.77,29.93,29.53,29.83,183870
2/20/2015 16:00:00,29.63,29.88,29.6,29.88,230758
2/23/2015 16:00:00,29.58,29.87,29.39,29.72,235658
2/24/2015 16:00:00,29.36,29.62,28.61,29.12,587121
2/25/2015 16:00:00,29.36,29.63,29.1,29.37,246320
2/26/2015 16:00:00,29.35,29.77,29.1,29.59,233739
2/27/2015 16:00:00,29.64,29.64,29.03,29.11,177173
3/2/2015 16:00:00,29.23,29.42,28.95,29.26,201853
3/3/2015 16:00:00,29.31,29.48,28.86,29.06,241794
3/4/2015 16:00:00,28.96,29.1,28.37,28.95,283471
3/5/2015 16:00:00,28.96,29.1,28.77,28.79,147083
3/6/2015 16:00:00,28.6,28.7,28.13,28.38,342752
3/9/2015 16:00:00,28.45,28.82,28.34,28.75,236193
3/10/2015 16:00:00,28.61,28.61,27.16,27.25,385495
3/11/2015 16:00:00,27.18,27.32,26.76,26.84,412317
3/12/2015 16:00:00,27.1,27.78,26.93,27.67,390093
3/13/2015 16:00:00,27.52,27.63,27.09,27.33,217802
3/16/2015 16:00:00,27.54,27.66,27.31,27.57,111338
3/17/2015 16:00:00,27.45,27.88,27.3,27.83,165058
3/18/2015 16:00:00,27.83,28.35,27.67,28.19,279163
3/19/2015 16:00:00,28.03,28.27,27.9,27.93,251015
3/20/2015 16:00:00,28.24,28.46,27.99,28.29,250987
3/23/2015 16:00:00,28.25,28.5,28.08,28.24,239680
3/24/2015 16:00:00,28.24,28.37,27.84,27.97,426334
3/25/2015 16:00:00,28.05,28.08,27.03,27.1,297645
3/26/2015 16:00:00,27.01,27.06,26.79,26.9,313725
3/27/2015 16:00:00,26.95,27,26.53,26.55,335382
