Date,Open,High,Low,Close,Volume
5/21/2015 16:00:00,28,28.74,24.11,25.68,12303919
5/22/2015 16:00:00,26.17,31.1,26,28.31,2842581
5/26/2015 16:00:00,29.8,30.34,29.08,29.65,819883
5/27/2015 16:00:00,30.67,30.81,27,27.5,797976
5/28/2015 16:00:00,27.55,27.74,26.48,27.45,400337
5/29/2015 16:00:00,27.25,27.38,26.87,27.2,255919
6/1/2015 16:00:00,27.2,27.44,26.6,27.33,257040
6/2/2015 16:00:00,27.47,27.47,26.65,26.95,379765
6/3/2015 16:00:00,26.76,27.5,26.5,27.44,302948
6/4/2015 16:00:00,27.42,27.49,25.51,26.78,322577
6/5/2015 16:00:00,26.66,27.39,26.1,27.39,129560
6/8/2015 16:00:00,26.9,27.48,26.82,26.98,280925
6/9/2015 16:00:00,26.64,28.46,26.64,28.34,337785
6/10/2015 16:00:00,28.45,28.88,27.95,28.1,273588
6/11/2015 16:00:00,28.49,30.73,28.49,30.73,461619
6/12/2015 16:00:00,31.32,33.7,31.25,33.63,848352
6/15/2015 16:00:00,33.97,38.12,32.92,35.5,1694460
6/16/2015 16:00:00,36.06,38.38,35.84,38.11,1109342
6/17/2015 16:00:00,39.63,42.13,38.01,38.63,1595202
6/18/2015 16:00:00,38.42,38.89,34.33,35.55,1148173
6/19/2015 16:00:00,36.33,36.74,32.55,35.52,979092
6/22/2015 16:00:00,36.76,38.5,36.09,36.94,792238
6/23/2015 16:00:00,37.75,38.1,35.17,35.43,294227
6/24/2015 16:00:00,35.12,37.43,34.14,35.96,564367
6/25/2015 16:00:00,36.34,36.5,34.8,34.84,208183
6/26/2015 16:00:00,34.87,35.32,32.63,33.52,346533
6/29/2015 16:00:00,32.52,33.51,31.2,31.32,315520
6/30/2015 16:00:00,31.5,34.44,31.5,33.95,473587
7/1/2015 16:00:00,34.03,34.97,29.88,31.11,1012514
7/2/2015 16:00:00,31.51,31.73,30.62,31.31,303653
7/6/2015 16:00:00,31.07,31.74,30.38,30.53,149336
7/7/2015 16:00:00,30.47,30.83,28.5,30.76,348945
7/8/2015 16:00:00,30.02,30.36,29.03,29.19,187363
7/9/2015 16:00:00,29.73,30.38,28.8,29.06,249100
7/10/2015 16:00:00,29.32,30.29,29.1,29.6,280486
7/13/2015 16:00:00,29.85,30.99,29.76,30.42,220053
7/14/2015 16:00:00,30.78,31.33,30.5,30.86,145520
7/15/2015 16:00:00,30.89,31.01,28.91,29.34,357017
7/16/2015 16:00:00,29.06,29.87,28.93,29.39,148265
7/17/2015 16:00:00,29.32,32.35,29.15,32.27,1619718
