Date,Open,High,Low,Close,Volume
1/2/2015 16:00:00,52.6,53.43,52.51,52.98,250080
1/5/2015 16:00:00,52.64,53.26,51.49,51.87,355254
1/6/2015 16:00:00,51.86,51.86,50.24,50.83,379496
1/7/2015 16:00:00,51.1,51.45,50.29,51.33,359881
1/8/2015 16:00:00,51.56,52.39,50.92,51.33,387862
1/9/2015 16:00:00,51.33,51.4,50.24,50.47,311869
1/12/2015 16:00:00,50.48,50.66,49.06,50.52,372002
1/13/2015 16:00:00,50.62,51.45,50,50.54,444103
1/14/2015 16:00:00,50.3,50.73,49.11,49.63,482630
1/15/2015 16:00:00,49.94,51.19,49.38,50.74,634770
1/16/2015 16:00:00,50.5,50.75,50.33,50.35,509466
1/19/2015 16:00:00,50.3,50.9,50.19,50.66,179388
1/20/2015 16:00:00,51.01,51.05,49.75,50.01,479399
1/21/2015 16:00:00,50.24,50.84,49.75,50.55,459155
1/22/2015 16:00:00,50.58,51.4,50.58,50.9,826967
1/23/2015 16:00:00,50.92,51.94,50.9,51.64,664844
1/26/2015 16:00:00,51.83,52.16,51.25,51.47,214792
1/27/2015 16:00:00,51.27,52.95,51.24,52.54,762240
1/28/2015 16:00:00,52.56,53.62,52.49,52.75,581460
1/29/2015 16:00:00,52.83,53.68,52.57,53.26,441413
1/30/2015 16:00:00,53.04,54.11,52.91,53.37,522844
2/2/2015 16:00:00,53.54,54.26,53.09,53.6,305016
2/3/2015 16:00:00,54.07,54.09,52.66,53.05,483240
2/4/2015 16:00:00,53.07,53.45,52.41,52.62,480939
2/5/2015 16:00:00,52.77,53.69,51.83,52.17,564950
2/6/2015 16:00:00,52.41,52.74,51.42,51.96,387002
2/9/2015 16:00:00,51.79,52.35,51.23,51.45,311167
2/10/2015 16:00:00,51.67,53.46,51.56,53.16,684389
2/11/2015 16:00:00,53.15,54.19,52.72,53.69,513912
2/12/2015 16:00:00,53.84,53.86,52.93,53.26,399387
2/13/2015 16:00:00,53.36,53.76,52.98,53.28,287971
2/17/2015 16:00:00,53.48,54.3,53.21,54,304040
2/18/2015 16:00:00,53.94,54.13,53.36,53.75,285994
2/19/2015 16:00:00,53.97,54.68,53.69,54.19,329157
2/20/2015 16:00:00,54.3,55.12,54.02,54.84,453619
2/23/2015 16:00:00,54.95,55.44,54.7,55.13,359638
2/24/2015 16:00:00,55.27,55.78,55.03,55.48,444761
2/25/2015 16:00:00,55.48,55.72,54.08,54.4,545394
2/26/2015 16:00:00,56.13,56.54,54.32,54.68,877966
2/27/2015 16:00:00,54.66,54.99,53.6,53.93,756637
3/2/2015 16:00:00,53.64,54.1,52.59,52.92,799968
3/3/2015 16:00:00,52.88,52.92,52.22,52.36,677790
3/4/2015 16:00:00,52.38,53.26,52.11,52.99,637918
